"","District","Alpha","Dispersion","P_value","Size"
"1","Bagerhat",-0.578225075763878,0.421774924236122,1.82494025757786e-68,804
"2","Bandarban",-0.521863690958337,0.478136309041663,4.92860036820876e-46,600
"3","Barguna",-0.621933847870124,0.378066152129876,2.41199503658206e-111,770
"4","Barishal",-0.6225326124678,0.3774673875322,1.47647246123584e-131,726
"5","Bhola",-0.616647768834305,0.383352231165695,4.26135484323403e-132,749
"6","Bogura",-0.645956708104183,0.354043291895817,7.80328126333311e-175,790
"7","Brahmanbaria",-0.536167412488702,0.463832587511298,3.4139832973997e-77,765
"8","Chandpur",-0.587925800991017,0.412074199008983,3.51463032023146e-83,677
"9","Chapai Nawabganj",-0.558211069104386,0.441788930895614,3.885153970073e-192,1675
"10","Chattogram",-0.611868142257733,0.388131857742267,1.39744094236139e-129,876
"11","Chuadanga",-0.582644200185255,0.417355799814745,8.73040875020517e-137,1094
"12","Cox's Bazar",-0.596160846049952,0.403839153950048,9.93123428512624e-108,686
"13","Cumilla",-0.575581657813223,0.424418342186777,4.52938513885595e-211,1963
"14","Dhaka",-0.671337675173329,0.328662324826671,2.54249971961949e-187,804
"15","Dinajpur",-0.638044144092427,0.361955855907573,1.17432331985879e-134,720
"16","Faridpur",-0.665681008124127,0.334318991875873,2.28697233951571e-181,816
"17","Feni",-0.587378042559838,0.412621957440162,2.644687574081e-93,707
"18","Gaibandha",-0.559981243172302,0.440018756827698,2.84229071939445e-73,644
"19","Gazipur",-0.609451248293593,0.390548751706407,2.85423583478286e-102,642
"20","Gopalganj",-0.432286803575855,0.567713196424145,1.0327811629482e-43,878
"21","Habiganj",-0.63591653389662,0.36408346610338,1.56727744422209e-136,779
"22","Jamalpur",-0.629464883014029,0.370535116985971,3.19375551370375e-108,588
"23","Jashore",-0.633994689460815,0.366005310539185,5.99222454040554e-168,882
"24","Jhalokati",-0.615480174774718,0.384519825225282,2.25891769541363e-126,707
"25","Jhenaidah",-0.662449588433783,0.337550411566217,6.32819042477562e-201,861
"26","Joypurhat",-0.602906261730492,0.397093738269508,2.50103202832725e-116,642
"27","Khagrachhari",-0.61615535343309,0.38384464656691,4.42841494029494e-121,755
"28","Khulna",-0.55229398597754,0.44770601402246,8.25844391799005e-67,629
"29","Kishoregonj",-0.619421262271912,0.380578737728088,2.00479403798754e-134,808
"30","Kurigram",-0.636659545925343,0.363340454074657,3.34593616828959e-191,899
"31","Kushtia",-0.620108271868174,0.379891728131826,1.46893680726833e-119,695
"32","Lakshmipur",-0.593561538000356,0.406438461999644,1.78165517816872e-87,819
"33","Lalmonirhat",-0.622426503111054,0.377573496888946,1.19229413028755e-107,618
"34","Madaripur",-0.619457425180454,0.380542574819546,5.55696242485503e-154,817
"35","Magura",-0.649903294349083,0.350096705650917,2.098749640011e-136,696
"36","Manikganj",-0.640847386849147,0.359152613150853,1.96211480056484e-180,885
"37","Maulvibazar",-0.53920672928345,0.46079327071655,6.68101800834365e-88,874
"38","Meherpur",-0.650508448752208,0.349491551247792,8.12916259631946e-171,782
"39","Munshiganj",-0.489483564665033,0.510516435334967,2.12721399877033e-57,844
"40","Mymensingh",-0.665569539054139,0.334430460945861,2.41313955799358e-184,769
"41","Naogaon",-0.631178277577322,0.368821722422678,5.31997960683115e-142,775
"42","Narail",-0.56135012989867,0.43864987010133,2.74624119690102e-106,811
"43","Narayangonj",-0.561426997159829,0.438573002840171,7.97724381220526e-80,756
"44","Narsingdi",-0.622241758182457,0.377758241817543,1.05048250550472e-127,754
"45","Natore",-0.629096529376571,0.370903470623429,2.4563467753506e-149,835
"46","Netrokona",-0.547804058930002,0.452195941069998,8.56762959580961e-72,657
"47","Nilphamari",-0.611617698104024,0.388382301895976,3.54341910380318e-128,846
"48","Noakhali",-0.621770961671496,0.378229038328504,4.00323651796403e-156,839
"49","Pabna",-0.563583873321075,0.436416126678925,1.13547872940829e-96,816
"50","Panchagarh",-0.655305406976997,0.344694593023003,2.31104732746213e-176,806
"51","Patuakhali",-0.61459870370539,0.38540129629461,4.36738939882063e-138,847
"52","Pirojpur",-0.597478841800874,0.402521158199126,7.10186390569279e-107,740
"53","Rajbari",-0.617881795593132,0.382118204406868,1.94180920746999e-116,802
"54","Rajshahi",-0.656719816963715,0.343280183036285,7.95168244091088e-166,746
"55","Rangamati",-0.632412642458857,0.367587357541143,1.14807666895731e-124,646
"56","Rangpur",-0.628838297585265,0.371161702414735,1.47160312132377e-137,739
"57","Satkhira",-0.605823454271909,0.394176545728091,5.22577415734394e-103,657
"58","Shariatpur",-0.668211230614676,0.331788769385324,2.05815653481352e-189,856
"59","Sherpur",-0.486047960522157,0.513952039477843,2.68704943343266e-47,818
"60","Sirajganj",-0.589039951520089,0.410960048479911,3.30946188722245e-91,581
"61","Sunamganj",-0.450981275015556,0.549018724984444,4.35625280677925e-44,831
"62","Sylhet",-0.492609178079975,0.507390821920025,2.7401804423427e-62,837
"63","Tangail",-0.614451813158316,0.385548186841684,1.52998899445595e-121,700
"64","Thakurgaon",-0.646269075877863,0.353730924122137,8.86806485684778e-157,901
