"","x","count","F","L","U"
"1",1,804,0.170455499060067,0.149801912387429,0.18814174369388
"2",2,600,0.176078523831178,0.155177134397191,0.194377245430132
"3",3,770,0.178331188802318,0.157921742142272,0.195680034417023
"4",4,726,0.178726368743288,0.156732673447148,0.198316804806495
"5",5,749,0.17892774691891,0.159494163117756,0.195289802569342
"6",6,790,0.179949744550736,0.159251261656873,0.1995381918747
"7",7,765,0.181988464590715,0.160209339571088,0.200963480911143
"8",8,677,0.182473808356166,0.160254426674282,0.203069182836901
"9",9,1675,0.183166423020102,0.161690020004026,0.202918254768451
"10",10,876,0.183378697854066,0.162940844428057,0.204121370280415
"11",11,1094,0.183407497329824,0.162052329072008,0.201438974253218
"12",12,686,0.185040805529221,0.166729915004569,0.203259611242178
"13",13,1963,0.185635027710765,0.16357058395848,0.205994331411152
"14",14,804,0.185796200951832,0.164760660134269,0.206546422572946
"15",15,720,0.186719621793065,0.164102520858638,0.208314626082348
"16",16,816,0.186967686635938,0.168500999965285,0.205248489046509
"17",17,707,0.187358129007546,0.168651436897799,0.203774217806219
"18",18,644,0.187407875182297,0.16805690776529,0.205493458679703
"19",19,642,0.18744688544227,0.168451395436094,0.204080826944958
"20",20,878,0.188278013660471,0.165682353121359,0.209725822917868
"21",21,779,0.188478129285985,0.167689675340403,0.209773907527511
"22",22,588,0.188627711920822,0.17118224827979,0.206452831479187
"23",23,882,0.189270729708345,0.172246964692933,0.205714242602746
"24",24,707,0.190029098444645,0.167603815537051,0.209919675503983
"25",25,861,0.190130582343738,0.171081878298831,0.210097571150541
"26",26,642,0.190662019283671,0.174707909142718,0.208757020705702
"27",27,755,0.190905835163534,0.17037422671131,0.211259882675923
"28",28,629,0.190926380302621,0.171268702696418,0.2109643259983
"29",29,808,0.19149063616058,0.171088934568803,0.212757005601119
"30",30,899,0.192483733918929,0.17356161878318,0.211467718582617
"31",31,695,0.19271494176112,0.173844904145466,0.209826925715769
"32",32,819,0.192786320612251,0.172909823819399,0.213237469626591
"33",33,618,0.193040892966339,0.169108440638124,0.21587164273272
"34",34,817,0.193510287388172,0.17544179141424,0.211320341766671
"35",35,696,0.19358765375993,0.172355564687551,0.214023338091296
"36",36,885,0.194355378663825,0.176063937597509,0.21338077548382
"37",37,874,0.194765857749127,0.177444008008285,0.214477109426507
"38",38,782,0.195019383442739,0.175620264042269,0.21521812382107
"39",39,844,0.195036684079105,0.172279348051336,0.217475594335735
"40",40,769,0.19529962988388,0.176485298500455,0.212406350755809
"41",41,775,0.195718965909997,0.178666154350634,0.213365985500674
"42",42,811,0.195961254664942,0.18061712972669,0.212618376375974
"43",43,756,0.196304948955025,0.177781604391686,0.216010110837622
"44",44,754,0.196923401843053,0.178070243456803,0.219386844304696
"45",45,835,0.197130078270877,0.176219173628385,0.218374127381928
"46",46,657,0.197132402558069,0.179479656395111,0.216465026368117
"47",47,846,0.197491039460095,0.179892554419602,0.216878243244761
"48",48,839,0.198159304446872,0.179930306909379,0.216677025448636
"49",49,816,0.198255008852948,0.178383422343564,0.218743742147611
"50",50,806,0.198747643738905,0.183267659838535,0.214008651747677
"51",51,847,0.198934693846364,0.180427294052645,0.217661774978978
"52",52,740,0.199311386812215,0.181945073431372,0.220246555238196
"53",53,802,0.199708874145857,0.180098820047187,0.21913256633926
"54",54,746,0.199911625336498,0.182348104089431,0.2187895653939
"55",55,646,0.200066279066218,0.182581792009705,0.217481107425781
"56",56,739,0.200615564023786,0.180012374987366,0.22048296681541
"57",57,657,0.200687896425086,0.185090491599667,0.215927631075926
"58",58,856,0.20105600377385,0.181661746282565,0.222571559078895
"59",59,818,0.201186498013744,0.183305241536583,0.222110455387113
"60",60,581,0.202126393461256,0.186366993815077,0.219394807062858
"61",61,831,0.20433352121579,0.189777504828315,0.220214487701244
"62",62,837,0.204764582756083,0.183656701095292,0.228641571016228
"63",63,700,0.206863345097293,0.188673420925858,0.226832034640472
"64",64,901,0.207074397546462,0.189055741339466,0.227393853297434
